,mean,sd,hdi_3%,hdi_97%
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_25]",0.399,0.06,0.281,0.511
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_26]",0.425,0.07,0.294,0.552
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_27]",0.557,0.111,0.368,0.768
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_28]",0.186,0.054,0.088,0.291
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_29]",0.346,0.1,0.181,0.542
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_30]",0.23,0.08,0.082,0.378
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_31]",-0.4,0.075,-0.546,-0.269
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_32]",-0.347,0.078,-0.483,-0.181
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_33]",0.553,0.149,0.286,0.837
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_34]",-0.905,0.122,-1.115,-0.685
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_35]",-0.053,0.076,-0.181,0.103
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_36]",-0.33,0.075,-0.476,-0.195
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_37]",-0.831,0.094,-1.016,-0.661
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_38]",0.114,0.067,-0.005,0.244
"beta_protocol[tox21-ror-cho-antagonist-p1, beta_39]",0.469,0.128,0.235,0.702
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_0]",1.007,0.513,0.301,1.991
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_1]",-0.654,0.314,-1.272,-0.245
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_2]",-0.859,0.496,-1.806,-0.186
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_3]",-0.677,0.284,-1.22,-0.276
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_4]",-0.332,0.072,-0.459,-0.206
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_5]",0.346,0.088,0.191,0.516
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_6]",-0.043,0.089,-0.221,0.111
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_7]",-0.338,0.08,-0.48,-0.188
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_8]",-0.175,0.058,-0.295,-0.07
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_9]",0.497,0.116,0.26,0.701
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_10]",0.006,0.064,-0.113,0.124
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_11]",-0.119,0.081,-0.292,0.022
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_12]",0.948,0.187,0.604,1.28
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_13]",-0.261,0.085,-0.427,-0.116
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_14]",0.424,0.102,0.24,0.603
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_15]",0.59,0.081,0.458,0.765
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_16]",0.514,0.071,0.392,0.652
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_17]",-0.146,0.118,-0.349,0.073
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_18]",-0.329,0.052,-0.433,-0.234
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_19]",0.465,0.061,0.35,0.578
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_20]",-0.328,0.068,-0.46,-0.208
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_21]",-0.69,0.091,-0.848,-0.504
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_22]",-0.333,0.126,-0.552,-0.122
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_23]",0.002,0.102,-0.189,0.193
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_24]",-0.273,0.072,-0.425,-0.161
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_25]",0.407,0.062,0.289,0.53
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_26]",0.408,0.072,0.281,0.54
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_27]",0.36,0.098,0.161,0.527
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_28]",0.229,0.061,0.113,0.339
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_29]",0.223,0.117,-0.024,0.413
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_30]",0.162,0.054,0.059,0.259
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_31]",-0.549,0.078,-0.712,-0.41
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_32]",-0.337,0.083,-0.481,-0.175
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_33]",0.847,0.14,0.574,1.098
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_34]",-0.932,0.123,-1.148,-0.723
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_35]",-0.073,0.089,-0.24,0.091
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_36]",-0.39,0.068,-0.509,-0.254
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_37]",-0.816,0.079,-0.966,-0.669
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_38]",0.183,0.063,0.065,0.299
"beta_protocol[tox21-gh3-tre-antagonist-p1, beta_39]",0.487,0.105,0.305,0.68
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_0]",0.99,0.517,0.284,1.982
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_1]",-0.662,0.32,-1.268,-0.242
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_2]",-0.852,0.498,-1.823,-0.174
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_3]",-0.688,0.287,-1.227,-0.301
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_4]",-0.321,0.067,-0.447,-0.208
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_5]",0.158,0.084,0.003,0.31
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_6]",0.337,0.1,0.148,0.523
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_7]",-0.334,0.083,-0.478,-0.157
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_8]",-0.159,0.055,-0.259,-0.052
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_9]",0.987,0.155,0.728,1.309
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_10]",0.003,0.069,-0.134,0.123
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_11]",-0.096,0.081,-0.25,0.061
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_12]",0.689,0.183,0.385,1.09
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_13]",-0.196,0.076,-0.328,-0.043
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_14]",0.626,0.1,0.452,0.82
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_15]",0.638,0.086,0.487,0.817
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_16]",0.577,0.075,0.45,0.722
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_17]",-0.078,0.118,-0.284,0.158
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_18]",-0.322,0.058,-0.422,-0.211
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_19]",0.509,0.07,0.391,0.648
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_20]",-0.358,0.073,-0.5,-0.229
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_21]",-0.715,0.087,-0.875,-0.559
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_22]",-0.404,0.146,-0.66,-0.166
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_23]",0.146,0.106,-0.051,0.345
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_24]",-0.251,0.064,-0.384,-0.144
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_25]",0.407,0.065,0.287,0.531
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_26]",0.405,0.067,0.283,0.534
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_27]",0.312,0.102,0.096,0.482
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_28]",0.214,0.059,0.114,0.33
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_29]",0.4,0.102,0.213,0.6
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_30]",0.243,0.063,0.13,0.363
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_31]",-0.397,0.075,-0.53,-0.237
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_32]",-0.358,0.078,-0.503,-0.209
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_33]",0.616,0.165,0.341,0.957
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_34]",-0.904,0.137,-1.152,-0.663
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_35]",-0.075,0.084,-0.233,0.07
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_36]",-0.323,0.07,-0.446,-0.182
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_37]",-0.87,0.083,-1.022,-0.716
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_38]",0.172,0.063,0.054,0.295
"beta_protocol[tox21-vdr-bla-agonist-p1, beta_39]",0.533,0.101,0.348,0.732
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_0]",0.983,0.526,0.247,1.992
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_1]",-0.677,0.325,-1.277,-0.245
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_2]",-0.841,0.498,-1.793,-0.135
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_3]",-0.686,0.284,-1.248,-0.316
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_4]",-0.314,0.072,-0.442,-0.198
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_5]",0.164,0.099,-0.005,0.369
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_6]",0.394,0.108,0.203,0.606
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_7]",-0.448,0.093,-0.616,-0.287
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_8]",-0.148,0.056,-0.26,-0.049
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_9]",0.851,0.164,0.548,1.15
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_10]",-0.001,0.069,-0.145,0.119
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_11]",-0.061,0.093,-0.224,0.118
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_12]",0.627,0.217,0.195,1.054
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_13]",-0.191,0.085,-0.344,-0.031
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_14]",0.779,0.125,0.56,1.024
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_15]",0.583,0.085,0.423,0.746
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_16]",0.507,0.071,0.374,0.629
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_17]",0.003,0.135,-0.244,0.26
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_18]",-0.318,0.058,-0.414,-0.196
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_19]",0.374,0.073,0.241,0.516
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_20]",-0.355,0.078,-0.517,-0.238
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_21]",-0.704,0.092,-0.866,-0.526
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_22]",-0.383,0.135,-0.612,-0.151
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_23]",0.167,0.123,-0.075,0.375
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_24]",-0.229,0.065,-0.361,-0.106
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_25]",0.407,0.071,0.275,0.536
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_26]",0.398,0.071,0.266,0.539
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_27]",0.443,0.105,0.244,0.632
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_28]",0.169,0.057,0.052,0.27
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_29]",0.325,0.118,0.097,0.561
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_30]",0.184,0.071,0.05,0.311
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_31]",-0.429,0.075,-0.58,-0.299
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_32]",-0.454,0.083,-0.622,-0.309
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_33]",0.477,0.172,0.155,0.789
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_34]",-0.922,0.137,-1.183,-0.708
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_35]",-0.071,0.079,-0.248,0.065
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_36]",-0.245,0.08,-0.383,-0.077
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_37]",-0.846,0.09,-1.036,-0.703
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_38]",0.179,0.065,0.049,0.297
"beta_protocol[tox21-sbe-bla-antagonist-p1, beta_39]",0.077,0.124,-0.151,0.309
"beta_protocol[tox21-aromatase-p1, beta_0]",0.998,0.523,0.27,1.989
"beta_protocol[tox21-aromatase-p1, beta_1]",-0.675,0.324,-1.28,-0.242
"beta_protocol[tox21-aromatase-p1, beta_2]",-0.811,0.5,-1.86,-0.138
"beta_protocol[tox21-aromatase-p1, beta_3]",-0.684,0.281,-1.215,-0.307
"beta_protocol[tox21-aromatase-p1, beta_4]",-0.312,0.067,-0.42,-0.198
"beta_protocol[tox21-aromatase-p1, beta_5]",0.226,0.091,0.054,0.396
"beta_protocol[tox21-aromatase-p1, beta_6]",0.205,0.1,0.017,0.372
"beta_protocol[tox21-aromatase-p1, beta_7]",-0.408,0.074,-0.552,-0.269
"beta_protocol[tox21-aromatase-p1, beta_8]",-0.136,0.064,-0.25,-0.017
"beta_protocol[tox21-aromatase-p1, beta_9]",0.613,0.13,0.381,0.852
"beta_protocol[tox21-aromatase-p1, beta_10]",-0.014,0.063,-0.136,0.106
"beta_protocol[tox21-aromatase-p1, beta_11]",-0.101,0.08,-0.256,0.05
"beta_protocol[tox21-aromatase-p1, beta_12]",0.64,0.163,0.331,0.925
"beta_protocol[tox21-aromatase-p1, beta_13]",-0.239,0.077,-0.386,-0.1
"beta_protocol[tox21-aromatase-p1, beta_14]",0.589,0.102,0.419,0.82
"beta_protocol[tox21-aromatase-p1, beta_15]",0.584,0.082,0.428,0.74
"beta_protocol[tox21-aromatase-p1, beta_16]",0.483,0.064,0.36,0.607
"beta_protocol[tox21-aromatase-p1, beta_17]",-0.325,0.117,-0.541,-0.105
"beta_protocol[tox21-aromatase-p1, beta_18]",-0.271,0.058,-0.383,-0.17
"beta_protocol[tox21-aromatase-p1, beta_19]",0.499,0.07,0.377,0.653
"beta_protocol[tox21-aromatase-p1, beta_20]",-0.394,0.087,-0.564,-0.258
"beta_protocol[tox21-aromatase-p1, beta_21]",-0.716,0.096,-0.913,-0.546
"beta_protocol[tox21-aromatase-p1, beta_22]",-0.313,0.124,-0.552,-0.1
"beta_protocol[tox21-aromatase-p1, beta_23]",0.063,0.101,-0.101,0.273
"beta_protocol[tox21-aromatase-p1, beta_24]",-0.233,0.061,-0.349,-0.119
"beta_protocol[tox21-aromatase-p1, beta_25]",0.378,0.062,0.264,0.5
"beta_protocol[tox21-aromatase-p1, beta_26]",0.425,0.067,0.308,0.55
"beta_protocol[tox21-aromatase-p1, beta_27]",0.357,0.094,0.188,0.537
"beta_protocol[tox21-aromatase-p1, beta_28]",0.164,0.06,0.045,0.267
"beta_protocol[tox21-aromatase-p1, beta_29]",0.363,0.089,0.201,0.523
"beta_protocol[tox21-aromatase-p1, beta_30]",0.202,0.058,0.092,0.311
"beta_protocol[tox21-aromatase-p1, beta_31]",-0.492,0.069,-0.61,-0.357
"beta_protocol[tox21-aromatase-p1, beta_32]",-0.453,0.074,-0.604,-0.32
"beta_protocol[tox21-aromatase-p1, beta_33]",0.982,0.153,0.686,1.247
"beta_protocol[tox21-aromatase-p1, beta_34]",-0.922,0.139,-1.147,-0.668
"beta_protocol[tox21-aromatase-p1, beta_35]",-0.088,0.076,-0.241,0.049
"beta_protocol[tox21-aromatase-p1, beta_36]",-0.451,0.062,-0.558,-0.326
"beta_protocol[tox21-aromatase-p1, beta_37]",-0.8,0.081,-0.948,-0.638
"beta_protocol[tox21-aromatase-p1, beta_38]",0.201,0.067,0.078,0.333
"beta_protocol[tox21-aromatase-p1, beta_39]",0.627,0.133,0.394,0.879
"beta_protocol[tox21-h2ax-cho-p2, beta_0]",1.005,0.513,0.303,1.988
"beta_protocol[tox21-h2ax-cho-p2, beta_1]",-0.662,0.317,-1.257,-0.23
"beta_protocol[tox21-h2ax-cho-p2, beta_2]",-0.835,0.495,-1.802,-0.162
"beta_protocol[tox21-h2ax-cho-p2, beta_3]",-0.679,0.291,-1.226,-0.253
"beta_protocol[tox21-h2ax-cho-p2, beta_4]",-0.327,0.068,-0.438,-0.212
"beta_protocol[tox21-h2ax-cho-p2, beta_5]",0.273,0.091,0.107,0.43
"beta_protocol[tox21-h2ax-cho-p2, beta_6]",0.131,0.105,-0.084,0.318
"beta_protocol[tox21-h2ax-cho-p2, beta_7]",-0.283,0.095,-0.468,-0.123
"beta_protocol[tox21-h2ax-cho-p2, beta_8]",-0.155,0.056,-0.25,-0.043
"beta_protocol[tox21-h2ax-cho-p2, beta_9]",0.78,0.145,0.502,1.039
"beta_protocol[tox21-h2ax-cho-p2, beta_10]",0.016,0.066,-0.119,0.139
"beta_protocol[tox21-h2ax-cho-p2, beta_11]",-0.112,0.081,-0.27,0.052
"beta_protocol[tox21-h2ax-cho-p2, beta_12]",0.771,0.199,0.444,1.187
"beta_protocol[tox21-h2ax-cho-p2, beta_13]",-0.266,0.092,-0.447,-0.113
"beta_protocol[tox21-h2ax-cho-p2, beta_14]",0.601,0.102,0.42,0.807
"beta_protocol[tox21-h2ax-cho-p2, beta_15]",0.643,0.087,0.472,0.801
"beta_protocol[tox21-h2ax-cho-p2, beta_16]",0.442,0.078,0.293,0.585
"beta_protocol[tox21-h2ax-cho-p2, beta_17]",-0.034,0.151,-0.316,0.245
"beta_protocol[tox21-h2ax-cho-p2, beta_18]",-0.356,0.067,-0.487,-0.239
"beta_protocol[tox21-h2ax-cho-p2, beta_19]",0.547,0.066,0.41,0.663
"beta_protocol[tox21-h2ax-cho-p2, beta_20]",-0.306,0.074,-0.458,-0.168
"beta_protocol[tox21-h2ax-cho-p2, beta_21]",-0.851,0.131,-1.111,-0.637
"beta_protocol[tox21-h2ax-cho-p2, beta_22]",-0.402,0.153,-0.669,-0.161
"beta_protocol[tox21-h2ax-cho-p2, beta_23]",0.029,0.111,-0.181,0.231
"beta_protocol[tox21-h2ax-cho-p2, beta_24]",-0.218,0.068,-0.343,-0.082
"beta_protocol[tox21-h2ax-cho-p2, beta_25]",0.456,0.068,0.341,0.591
"beta_protocol[tox21-h2ax-cho-p2, beta_26]",0.37,0.081,0.208,0.51
"beta_protocol[tox21-h2ax-cho-p2, beta_27]",0.449,0.101,0.258,0.624
"beta_protocol[tox21-h2ax-cho-p2, beta_28]",0.221,0.065,0.091,0.327
"beta_protocol[tox21-h2ax-cho-p2, beta_29]",0.362,0.106,0.157,0.539
"beta_protocol[tox21-h2ax-cho-p2, beta_30]",0.204,0.07,0.078,0.335
"beta_protocol[tox21-h2ax-cho-p2, beta_31]",-0.416,0.087,-0.589,-0.256
"beta_protocol[tox21-h2ax-cho-p2, beta_32]",-0.315,0.097,-0.491,-0.14
"beta_protocol[tox21-h2ax-cho-p2, beta_33]",0.512,0.157,0.208,0.8
"beta_protocol[tox21-h2ax-cho-p2, beta_34]",-0.923,0.123,-1.143,-0.698
"beta_protocol[tox21-h2ax-cho-p2, beta_35]",0.006,0.086,-0.145,0.17
"beta_protocol[tox21-h2ax-cho-p2, beta_36]",-0.258,0.07,-0.381,-0.114
"beta_protocol[tox21-h2ax-cho-p2, beta_37]",-0.912,0.095,-1.105,-0.754
"beta_protocol[tox21-h2ax-cho-p2, beta_38]",0.173,0.063,0.059,0.292
"beta_protocol[tox21-h2ax-cho-p2, beta_39]",0.575,0.115,0.362,0.784
"beta_protocol[tox21-erb-bla-p1, beta_0]",0.995,0.519,0.274,1.982
"beta_protocol[tox21-erb-bla-p1, beta_1]",-0.666,0.32,-1.266,-0.245
"beta_protocol[tox21-erb-bla-p1, beta_2]",-0.845,0.493,-1.814,-0.191
"beta_protocol[tox21-erb-bla-p1, beta_3]",-0.693,0.288,-1.254,-0.306
"beta_protocol[tox21-erb-bla-p1, beta_4]",-0.34,0.072,-0.461,-0.213
"beta_protocol[tox21-erb-bla-p1, beta_5]",0.248,0.087,0.09,0.403
"beta_protocol[tox21-erb-bla-p1, beta_6]",0.07,0.104,-0.124,0.268
"beta_protocol[tox21-erb-bla-p1, beta_7]",-0.294,0.094,-0.46,-0.121
"beta_protocol[tox21-erb-bla-p1, beta_8]",-0.149,0.075,-0.302,-0.012
"beta_protocol[tox21-erb-bla-p1, beta_9]",0.574,0.124,0.35,0.816
"beta_protocol[tox21-erb-bla-p1, beta_10]",0.028,0.068,-0.103,0.158
"beta_protocol[tox21-erb-bla-p1, beta_11]",-0.145,0.086,-0.329,0.01
"beta_protocol[tox21-erb-bla-p1, beta_12]",0.765,0.174,0.441,1.059
"beta_protocol[tox21-erb-bla-p1, beta_13]",-0.211,0.08,-0.358,-0.055
"beta_protocol[tox21-erb-bla-p1, beta_14]",0.605,0.11,0.393,0.814
"beta_protocol[tox21-erb-bla-p1, beta_15]",0.692,0.098,0.523,0.891
"beta_protocol[tox21-erb-bla-p1, beta_16]",0.528,0.07,0.411,0.662
"beta_protocol[tox21-erb-bla-p1, beta_17]",0.097,0.141,-0.162,0.368
"beta_protocol[tox21-erb-bla-p1, beta_18]",-0.335,0.057,-0.452,-0.231
"beta_protocol[tox21-erb-bla-p1, beta_19]",0.472,0.067,0.348,0.597
"beta_protocol[tox21-erb-bla-p1, beta_20]",-0.365,0.077,-0.519,-0.235
"beta_protocol[tox21-erb-bla-p1, beta_21]",-0.637,0.12,-0.846,-0.416
"beta_protocol[tox21-erb-bla-p1, beta_22]",-0.356,0.129,-0.592,-0.144
"beta_protocol[tox21-erb-bla-p1, beta_23]",0.027,0.109,-0.169,0.237
"beta_protocol[tox21-erb-bla-p1, beta_24]",-0.225,0.068,-0.35,-0.09
"beta_protocol[tox21-erb-bla-p1, beta_25]",0.468,0.067,0.356,0.605
"beta_protocol[tox21-erb-bla-p1, beta_26]",0.409,0.077,0.263,0.555
"beta_protocol[tox21-erb-bla-p1, beta_27]",0.462,0.103,0.274,0.656
"beta_protocol[tox21-erb-bla-p1, beta_28]",0.261,0.074,0.147,0.423
"beta_protocol[tox21-erb-bla-p1, beta_29]",0.312,0.115,0.092,0.523
"beta_protocol[tox21-erb-bla-p1, beta_30]",0.122,0.064,-0.005,0.233
"beta_protocol[tox21-erb-bla-p1, beta_31]",-0.477,0.078,-0.614,-0.33
"beta_protocol[tox21-erb-bla-p1, beta_32]",-0.343,0.097,-0.509,-0.164
"beta_protocol[tox21-erb-bla-p1, beta_33]",0.426,0.16,0.116,0.719
"beta_protocol[tox21-erb-bla-p1, beta_34]",-0.928,0.136,-1.187,-0.684
"beta_protocol[tox21-erb-bla-p1, beta_35]",-0.016,0.093,-0.195,0.152
"beta_protocol[tox21-erb-bla-p1, beta_36]",-0.337,0.062,-0.457,-0.22
"beta_protocol[tox21-erb-bla-p1, beta_37]",-0.712,0.093,-0.876,-0.537
"beta_protocol[tox21-erb-bla-p1, beta_38]",0.158,0.059,0.049,0.275
"beta_protocol[tox21-erb-bla-p1, beta_39]",-0.146,0.088,-0.323,0.009
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_0]",1.004,0.522,0.298,2.031
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_1]",-0.662,0.323,-1.282,-0.226
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_2]",-0.81,0.496,-1.794,-0.126
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_3]",-0.682,0.288,-1.245,-0.286
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_4]",-0.325,0.066,-0.44,-0.206
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_5]",0.159,0.094,0.005,0.336
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_6]",0.185,0.096,0.007,0.368
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_7]",-0.438,0.075,-0.607,-0.31
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_8]",-0.145,0.056,-0.236,-0.021
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_9]",0.604,0.126,0.368,0.829
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_10]",0.032,0.066,-0.096,0.161
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_11]",-0.12,0.082,-0.296,0.028
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_12]",0.58,0.197,0.204,0.933
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_13]",-0.247,0.091,-0.423,-0.088
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_14]",0.518,0.1,0.332,0.699
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_15]",0.635,0.079,0.478,0.782
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_16]",0.593,0.086,0.444,0.759
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_17]",-0.271,0.137,-0.541,-0.019
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_18]",-0.298,0.056,-0.409,-0.195
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_19]",0.559,0.074,0.424,0.698
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_20]",-0.366,0.077,-0.513,-0.236
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_21]",-0.621,0.125,-0.817,-0.353
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_22]",-0.332,0.122,-0.55,-0.141
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_23]",0.084,0.109,-0.127,0.278
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_24]",-0.241,0.061,-0.369,-0.132
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_25]",0.345,0.063,0.215,0.458
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_26]",0.414,0.072,0.29,0.545
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_27]",0.443,0.101,0.27,0.635
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_28]",0.201,0.06,0.096,0.331
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_29]",0.345,0.094,0.191,0.551
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_30]",0.193,0.06,0.087,0.314
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_31]",-0.51,0.081,-0.66,-0.364
"beta_protocol[tox21-shh-3t3-gli3-antagonist-p1, beta_32]",-0.379,0.079,-0.517,-0.222
